The Beatles,57615.32375740673
Chuck Berry,44300.86327447782
Bob Dylan,41026.40126167211
The Rolling Stones,37384.655990630316
Elvis Presley,32075.88555043572
Little Richard,31300.92856525109
The Kinks,25780.246480413945
Bo Diddley,24861.678319317325
Hank Williams,24495.42168206714
The Velvet Underground,24176.830298657052
The Who,24101.320516475505
Buddy Holly,22858.014519019067
Muddy Waters,21863.950915995913
Jimi Hendrix,21594.47948636282
The Yardbirds,20246.17226045562
The Stooges,18496.335488979516
James Brown,18491.90841096864
Howlin' Wolf,17848.145055592915
David Bowie,16737.484254183746
Jimmy Reed,16326.510955278967
Sex Pistols,15721.369154009106
Jerry Lee Lewis,14813.888789641078
Roy Brown,14242.724036337402
The Beach Boys,14157.062601387239
Smokey Robinson,14053.700845579433
Ray Charles,13895.013442216516
The Everly Brothers,13818.095195191547
Cream,13384.718377347746
Carl Perkins,13049.32627644341
Sam Cooke,12915.64317934437
Eddie Cochran,12889.01330626185
Johnny Kidd & the Pirates,12767.726789098746
The Shadows,12325.235413856548
Elmore James,12287.570145439067
The Byrds,12230.080689699296
Willie Dixon,12020.229094462231
Led Zeppelin,11793.488020370534
Little Willie John,11494.471228122511
Hank Snow,11337.073617354727
Pink Floyd,11008.202956335239
Slim Harpo,11002.80508141839
Ramones,10781.928595438352
MC5,10640.537631965322
Johnny Paycheck,10272.542657914546
Fats Domino,10026.540979094292
Gene Vincent,9979.481625580978
John Lee Hooker,9813.53990234489
Bill Monroe,9746.7450642594
Louis Jordan,9567.205200221042
Buddy Guy,9515.130989209436
Black Sabbath,9488.711266315077
The Doors,9390.781716748515
Woody Guthrie,9264.03319101203
Johnny Cash,9048.095462806776
Ravi Shankar,8820.785955574582
Jackie Wilson,8796.386579040098
New York Dolls,8684.300132878348
John Mayall,8577.473627433084
The Isley Brothers,8512.273382980045
Roy Acuff,8490.378817678726
Roy Orbison,8486.35940726669
The Band,8446.116681876045
Buck Owens,8445.075314130305
Nat King Cole,8392.899977582121
Wynonie Harris,8321.325925095718
The Clash,8255.098503752239
T. Rex,8205.229170514136
Bob Wills,8107.085012361967
Marvin Gaye,7772.055959369671
Otis Redding,7636.25530062039
John Coltrane,7619.3951438344975
Iggy Pop,7486.559640150698
Lefty Frizzell,7464.973363686754
Carole King,7444.644234408217
Brian Eno,7304.634271389647
Pete Seeger,7207.749339576435
King Curtis,7152.705794195068
Percy Mayfield,6980.396700108852
T-Bone Walker,6885.858584923574
The Dickies,6871.272658092666
Roxy Music,6861.526507201601
The Pretty Things,6718.972403126644
Rufus Thomas,6529.716775727998
Alice Cooper,6524.799998268661
Miles Davis,6517.201666896757
The Supremes,6415.759975097979
Little Walter,6400.577414848341
Ernest Tubb,6393.894954598493
The Shirelles,6342.761280373756
PJ Harvey,6335.999606987529
Otis Rush,6149.741012438024
Blind Boy Fuller,6003.341327568725
The Marvelettes,5966.679081184161
Deep Purple,5964.913435897832
Ritchie Valens,5893.214016449598
Mose Allison,5852.199184667899
The Platters,5828.013771996558
Vanilla Fudge,5804.211596769898
The Connells,5746.287659839623
Billie Holiday,5731.46204221234
Black Flag,5712.403572704633
Frank Zappa,5664.659338559253
Neil Young,5636.451963019214
Slade,5607.281457677537
The Drifters,5567.57965577142
The Animals,5395.170080871096
Bob Dorough,5379.728571442222
Charlie Christian,5112.072043873505
Smokey Robinson & the Miracles,5058.0281248826695
Etta James,5045.789427656437
Gram Parsons,4927.584922230584
Don Covay,4871.139455037834
Franoise Hardy,4852.774531898688
Johnny Burnette,4830.732759442227
Duane Eddy,4829.224049295352
Can,4817.995852477473
Wilson Pickett,4757.120556353928
Mott the Hoople,4702.092999638059
The Ronettes,4690.9715223542635
Dave Van Ronk,4682.90788418387
Leon Russell,4647.418809233328
The Mills Brothers,4618.058323923457
Small Faces,4615.775599651334
Slim Whitman,4521.974581262839
Sun Ra,4443.18494180825
Curtis Mayfield,4430.435732441313
Wire,4373.194658000026
Chet Atkins,4372.158705983176
Ramblin' Jack Elliott,4351.795852598527
Roscoe Holcomb,4347.451777491455
The Impressions,4329.333501129362
Jimmy Cliff,4325.705193729602
Lou Reed,4240.566854208895
Jeff Beck,4162.779462402903
Link Wray,4147.043220272988
Kiss,4124.332142873219
Aretha Franklin,4113.15974263457
Merle Haggard,4108.237076143238
Billy Lee Riley,4105.109143746497
The Damned,4104.801328212229
Chic,4099.406789870719
Billy Eckstine,4035.6503204798014
Dr. Feelgood,4035.1979190484535
Iron Butterfly,4033.528359499155
Ewan MacColl,4026.5084898496593
Tom Petty,4000.1190050863593
Big Mama Thornton,3986.7852662396144
The Hollies,3966.4683335144546
Big Star,3959.460746529284
Frankie Lymon,3952.752636207678
Hot Tuna,3921.5086700454044
Odetta,3910.0965532539017
Faces,3863.2679266535474
Steve Reich,3861.7564655867536
Elizabeth Cotten,3838.283613709238
Sheryl Crow,3821.1938614723467
Buffalo Springfield,3775.548992047599
Doc Watson,3724.625337892381
Big Joe Williams,3706.20501141289
Davy Graham,3686.9644004606835
The Move,3684.4024761594524
The Flying Burrito Brothers,3655.60504956191
Al Green,3642.8572685793342
Television,3641.7182570503483
Love,3638.8855568991235
The Ink Spots,3623.9342029122777
Stevie Wonder,3604.144675039495
Red Foley,3584.1056193511017
The Troggs,3577.7236511724395
Steppenwolf,3551.5417366399547
Irma Thomas,3532.7989482341113
Motrhead,3525.954875460336
Joni Mitchell,3507.6572085736634
Ray Price,3501.8080169685763
Blue Cheer,3484.990794411598
Sam & Dave,3467.8130548363742
The Shangri-Las,3446.4842991673054
The Clovers,3421.959661519794
Annihilator,3414.1768543294265
Jefferson Airplane,3403.958006318813
Frank Sinatra,3399.1018390051727
Sly & the Family Stone,3393.772149637469
Burt Bacharach,3368.8977631407292
Dizzy Gillespie,3364.4220823518517
Richard Thompson,3362.482176704759
Don Lamond,3358.9111803795367
R.E.M.,3340.034275442707
The Kingsmen,3330.4901906643317
Cisco Houston,3315.524732389915
Jean Ritchie,3307.2199492823065
Freddie King,3299.345190820861
311,3292.2592399317614
Fear Factory,3277.6769333923467
Scott Walker,3249.838018758164
John Jacob Niles,3242.068726096653
J.B. Lenoir,3237.3767177168734
The Coasters,3210.7901440357773
The Modern Lovers,3204.4632781162486
Esquerita,3203.9645262732124
The Clancy Brothers,3190.2679557440124
Slim Gaillard,3190.026423614637
Bert Jansch,3173.535294137052
Van Morrison,3143.2478281766457
Fred Neil,3139.1557720246105
Joy Division,3133.8499541995407
Sonny Terry,3105.1632106675634
The Temptations,3099.8427094030135
Ella Fitzgerald,3094.3888239275348
Jacques Brel,3089.902913843302
Silver Apples,3081.231139486816
Professor Longhair,3063.988550937786
O.V. Wright,3037.139797807705
The Standells,3024.196206891983
The Moonglows,2997.7595224845427
James Cotton,2997.1377613607106
Charlie Parker,2976.0662689562096
Judas Priest,2961.726902791407
Suicide,2949.8819471450583
Courtney Love,2936.6655250669432
Diana Ross,2925.616066717032
Amos Milburn,2922.8488868491945
Hawkwind,2919.111975537421
Roy Harper,2885.2683310632356
Jethro Tull,2852.4243129795814
The Sonics,2829.5305084798933
The Creation,2804.666996000975
Ruth Brown,2790.5563206897036
Hank Ballard,2779.2539809460604
The Trashmen,2768.9635699951295
Elton John,2751.960348310976
Dion,2749.7008238151216
Lightnin' Hopkins,2748.5723426627037
Them,2743.698149287518
Junior Wells,2718.8505566726917
"Lee ""Scratch"" Perry",2713.87980425737
Lester Young,2704.5668844691686
King Crimson,2687.076128601052
The Spinners,2685.3607345032106
Andrew Lloyd Webber,2676.3914765257646
Free,2676.3406396818577
Johnny Otis,2669.639545695397
Talking Heads,2659.6803227336804
John Cage,2645.4818622493663
The Zombies,2645.091215230654
Shirley Collins,2644.533459894902
Dusty Springfield,2642.298564016462
Kay Starr,2634.556065236863
Dean Martin,2623.045369318717
Joan Baez,2611.153564172991
Simon & Garfunkel,2607.8386602582814
Fleetwood Mac,2594.825561714642
Nina Simone,2571.8672954333074
Roy Hamilton,2548.157348261002
Phil Ochs,2520.4761692151023
The Music Machine,2519.934789737008
Neu!,2508.4223643532882
"Bobby ""Blue"" Bland",2495.4678133087987
The Stanley Brothers,2494.8770253711587
Patti Smith,2484.2637455638587
Hsker D,2470.350073059438
The Ventures,2460.3833975068665
Thin Lizzy,2457.6476270809317
Captain Beefheart,2453.225835137093
Tom Paxton,2448.3163375899326
Billy Fury,2425.408908152505
Funkadelic,2420.5989190286605
Queen,2413.9424034282742
The Maddox Brothers & Rose,2406.965967095381
Peter Hammill,2404.6296550594325
Dionne Warwick,2388.992921352834
Donovan,2387.9692520003086
Chubby Checker,2386.685310932991
Cab Calloway,2366.5193086736895
Albert King,2362.6098247092195
Thelonious Monk,2347.53994182707
Dead Kennedys,2340.0217130393403
Fairport Convention,2322.602742415954
The Moody Blues,2320.01402423281
Marlene Dietrich,2312.0730942620003
Screamin' Jay Hawkins,2290.52762380987
Johnny Hartman,2283.3536855824377
Sweet,2281.180586676672
AC/DC,2278.7876784266737
Jonathan Richman,2274.0066484492404
