R&B;,1428,1980
Avant-Garde,33,1970
International,24,1930
Classical,1,2010
Latin,43,1930
Jazz,230,1990
Stage & Screen,13,1980
Reggae,190,1990
Electronic,357,1980
Easy Listening,2,2010
Vocal,56,2000
Vocal,204,1970
Religious,3,2010
R&B;,1326,1970
Reggae,571,1960
Easy Listening,3,1930
Pop/Rock,2822,1950
Pop/Rock,29,1930
International,28,1940
Latin,43,2000
Avant-Garde,58,1960
Reggae,33,1950
Pop/Rock,4277,2000
R&B;,405,1940
Folk,160,1970
Latin,86,1970
International,51,1980
Reggae,4,1940
Comedy/Spoken,74,1980
Latin,118,1940
Blues,353,1930
Jazz,270,1980
Stage & Screen,12,1940
Comedy/Spoken,26,1930
Comedy/Spoken,22,2000
Jazz,1113,1950
New Age,114,1970
Classical,39,1930
Electronic,209,2000
Blues,483,1940
Country,444,1930
New Age,100,1980
Blues,28,1980
Pop/Rock,79,1940
Classical,13,1940
Country,402,2000
Unknown,3,1970
Stage & Screen,47,1930
Electronic,891,1990
Pop/Rock,9803,1990
International,234,1960
Stage & Screen,56,1970
Pop/Rock,10229,1970
Classical,67,1960
R&B;,2523,1960
Stage & Screen,7,1990
Vocal,96,1990
Religious,34,1950
Classical,10,1950
Folk,391,1950
Jazz,412,1970
Electronic,51,2010
Pop/Rock,12401,1960
Country,650,1980
Unknown,8,1980
Folk,169,1930
New Age,31,1990
Blues,28,1990
Religious,58,1960
Vocal,683,1930
Reggae,42,2000
Children's,7,1950
Comedy/Spoken,84,1960
Blues,163,1960
International,116,1970
New Age,13,2000
Comedy/Spoken,22,1950
Country,1146,1990
Religious,146,1990
Jazz,867,1960
Classical,56,1990
Avant-Garde,18,1950
Classical,2,1980
Religious,84,1970
Folk,99,1990
Latin,290,1960
Easy Listening,63,1940
Jazz,694,1930
Classical,7,1970
International,16,2000
Folk,5,2000
International,96,1950
Comedy/Spoken,25,1970
Vocal,539,1940
Stage & Screen,30,1960
Blues,96,1970
R&B;,155,2010
Stage & Screen,138,1950
R&B;,1514,1990
Electronic,69,1960
Children's,1,1970
Vocal,53,1980
Folk,594,1960
Country,609,1940
Country,1197,1950
Latin,248,1990
Comedy/Spoken,40,1990
International,23,1990
Country,1058,1970
Stage & Screen,8,2000
Children's,1,1990
R&B;,2256,1950
Avant-Garde,3,1990
Electronic,253,1970
Reggae,197,1980
Pop/Rock,509,2010
Pop/Rock,11278,1980
Jazz,43,2000
Latin,289,1980
Religious,56,2000
R&B;,653,2000
Vocal,121,1960
Religious,7,1940
Easy Listening,38,1950
Easy Listening,1,1970
Easy Listening,18,1960
Folk,95,1980
Avant-Garde,1,1940
Blues,623,1950
Vocal,498,1950
Latin,8,2010
Jazz,1213,1940
New Age,29,1960
Avant-Garde,3,2000
Comedy/Spoken,9,1940
Religious,180,1980
Folk,115,1940
R&B;,30,1930
Country,941,1960
Easy Listening,5,1990
Reggae,513,1970
Religious,18,1930
Country,102,2010
Latin,207,1950
