0.552,0.644,0.961,122.546,-9.129,1,9,0.675,0,0.36,0.0372,0,1963
0.551,0.533,0.85,122.358,-9.8,1,9,0.323,0.722,0.173,0.0297,0,1964
0.425,0.369,0.65,176.625,-11.876,1,4,0.183,0.00126,0.112,0.0379,0,1965
0.601,0.489,0.638,136.215,-8.554,1,9,0.277,0,0.0988,0.0455,0,1965
0.493,0.525,0.449,127.492,-9.289,1,9,0.182,4.40E-06,0.148,0.0315,0,1966
0.879,0.143,0.393,113.267,-19.917,1,7,0.7,0.00184,0.452,0.261,0,1967
0.166,0.831,0.281,167.518,-8.469,1,9,0.000606,0.846,0.811,0.0894,0,1968
0.703,0.215,0.522,100.874,-23.03,1,2,0.728,1.23E-06,0.13,0.0892,0,1969
0.726,0.702,0.931,109.114,-10.757,1,7,0.0974,3.46E-05,0.239,0.032,0,1970
0.389,0.491,0.28,97.974,-13.052,1,10,0.323,0.000116,0.0704,0.184,0,1973
0.391,0.883,0.927,75.442,-5.973,1,7,0.264,0,0.157,0.0442,0,1988
0.474,0.503,0.457,72.323,-9.074,1,9,0.0438,0.016,0.153,0.0279,0,1995
0.284,0.803,0.96,173.666,-5.672,1,2,0.0868,0,0.292,0.0361,0,1995
0.679,0.592,0.55,113.265,-5.963,1,9,0.0964,0.0138,0.16,0.0402,0,2000
0.462,0.632,0.585,74.268,-7.438,1,5,0.091,0,0.397,0.0248,0,2006
0.616,0.636,0.654,110.618,-7.055,1,1,0.208,0,0.517,0.0325,0,2014
